ch1_elapsed_s,ch1_ok,ch1_plen,ch1_raw_len,ch2_elapsed_s,ch2_ok,ch2_plen,ch2_raw_len,ch3_elapsed_s,ch3_ok,ch3_plen,ch3_raw_len,ch4_elapsed_s,ch4_ok,ch4_plen,ch4_raw_len,elapsed_s,head_datalen,head_elapsed_s,head_ok,head_plen,head_raw_len,idn_len,idn_ok,idn_str,iter,live,ts
1790156720.655,True,3040,3044,1790156721.159,True,3040,3044,1790156721.662,True,3040,3044,1790156722.168,True,3040,3044,3.519,1520,1790156720.15,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",25,True,1790156718.6484754
1790156724.176,True,3040,3044,1790156724.681,True,3040,3044,1790156725.185,True,3040,3044,1790156725.689,True,3040,3044,3.521,1520,1790156723.671,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",26,True,1790156722.1677601
1790156727.694,True,3040,3044,1790156728.197,True,3040,3044,1790156728.701,True,3040,3044,1790156729.204,True,3040,3044,3.515,1520,1790156727.191,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",27,True,1790156725.6887512
1790156731.209,True,3040,3044,1790156731.712,True,3040,3044,1790156732.216,True,3040,3044,1790156732.721,True,3040,3044,3.517,1520,1790156730.706,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",28,True,1790156729.2041135
1790156734.728,True,3040,3044,1790156735.234,True,3040,3044,1790156735.738,True,3040,3044,1790156736.242,True,3040,3044,3.521,1520,1790156734.223,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",29,True,1790156732.721109
1790156738.251,True,3040,3044,1790156738.754,True,3040,3044,1790156739.258,True,3040,3044,1790156739.761,True,3040,3044,3.519,1520,1790156737.745,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",30,True,1790156736.242191
1790156741.767,True,3040,3044,1790156742.271,True,3040,3044,1790156742.772,True,3040,3044,1790156743.276,True,3040,3044,3.515,1520,1790156741.264,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",31,True,1790156739.7613137
1790156745.283,True,3040,3044,1790156745.786,True,3040,3044,1790156746.29,True,3040,3044,1790156746.793,True,3040,3044,3.517,1520,1790156744.778,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",32,True,1790156743.2758965
1790156748.8,True,3040,3044,1790156749.304,True,3040,3044,1790156749.805,True,3040,3044,1790156750.311,True,3040,3044,3.518,1520,1790156748.295,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",33,True,1790156746.7930524
1790156752.317,True,3040,3044,1790156752.82,True,3040,3044,1790156753.326,True,3040,3044,1790156753.829,True,3040,3044,3.518,1520,1790156751.813,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",34,True,1790156750.3111365
1790156755.834,True,3040,3044,1790156756.338,True,3040,3044,1790156756.841,True,3040,3044,1790156757.345,True,3040,3044,3.515,1520,1790156755.332,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",35,True,1790156753.8292515
1790156759.353,True,3040,3044,1790156759.857,True,3040,3044,1790156760.36,True,3040,3044,1790156760.863,True,3040,3044,3.519,1520,1790156758.846,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",36,True,1790156757.3446221
1790156762.869,True,3040,3044,1790156763.373,True,3040,3044,1790156763.879,True,3040,3044,1790156764.382,True,3040,3044,3.519,1520,1790156762.365,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",37,True,1790156760.8635101
1790156766.387,True,3040,3044,1790156766.893,True,3040,3044,1790156767.395,True,3040,3044,1790156767.898,True,3040,3044,3.516,1520,1790156765.884,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",38,True,1790156764.382222
1790156769.906,True,3040,3044,1790156770.409,True,3040,3044,1790156770.914,True,3040,3044,1790156771.417,True,3040,3044,3.519,1520,1790156769.399,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",39,True,1790156767.8980818
1790156773.426,True,3040,3044,1790156773.929,True,3040,3044,1790156774.435,True,3040,3044,1790156774.939,True,3040,3044,3.522,1520,1790156772.919,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",40,True,1790156771.4173913
1790156776.944,True,3040,3044,1790156777.447,True,3040,3044,1790156777.951,True,3040,3044,1790156778.454,True,3040,3044,3.515,1520,1790156776.441,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",41,True,1790156774.9393687
1790156780.459,True,3040,3044,1790156780.963,True,3040,3044,1790156781.466,True,3040,3044,1790156781.971,True,3040,3044,3.517,1520,1790156779.957,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",42,True,1790156778.4544215
1790156783.979,True,3040,3044,1790156784.485,True,3040,3044,1790156784.988,True,3040,3044,1790156785.491,True,3040,3044,3.52,1520,1790156783.474,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",43,True,1790156781.971461
1790156787.496,True,3040,3044,1790156787.999,True,3040,3044,1790156788.502,True,3040,3044,1790156789.006,True,3040,3044,3.514,1520,1790156786.994,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",44,True,1790156785.4915388
1790156791.011,True,3040,3044,1790156791.515,True,3040,3044,1790156792.018,True,3040,3044,1790156792.523,True,3040,3044,3.517,1520,1790156790.508,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",45,True,1790156789.0060017
1790156794.532,True,3040,3044,1790156795.037,True,3040,3044,1790156795.541,True,3040,3044,1790156796.044,True,3040,3044,3.521,1520,1790156794.026,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",46,True,1790156792.523404
1790156798.05,True,3040,3044,1790156798.554,True,3040,3044,1790156799.058,True,3040,3044,1790156799.561,True,3040,3044,3.517,1520,1790156797.546,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",47,True,1790156796.04454
1790156801.566,True,3040,3044,1790156802.07,True,3040,3044,1790156802.575,True,3040,3044,1790156803.079,True,3040,3044,3.518,1520,1790156801.063,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",48,True,1790156799.5611346
1790156805.083,True,3040,3044,1790156805.586,True,3040,3044,1790156806.089,True,3040,3044,1790156806.594,True,3040,3044,3.515,1520,1790156804.581,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",49,True,1790156803.079152
1790156808.6,True,3040,3044,1790156809.103,True,3040,3044,1790156809.607,True,3040,3044,1790156810.11,True,3040,3044,3.516,1520,1790156808.095,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",50,True,1790156806.5938816
