elapsed_s,head_datalen,head_elapsed_s,head_ok,head_plen,head_raw_len,idn_len,idn_ok,idn_str,iter,live,ts
1.502,1520,1790156899.957,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",51,True,1790156898.455393
1.502,1520,1790156901.459,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",52,True,1790156899.9574409
1.503,1520,1790156902.962,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",53,True,1790156901.4595323
1.502,1520,1790156904.464,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",54,True,1790156902.9622014
1.502,1520,1790156905.966,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",55,True,1790156904.4639661
1.502,1520,1790156907.468,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",56,True,1790156905.9663332
1.501,1520,1790156908.969,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",57,True,1790156907.4682474
1.503,1520,1790156910.472,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",58,True,1790156908.9695096
1.503,1520,1790156911.975,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",59,True,1790156910.4721987
1.502,1520,1790156913.476,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",60,True,1790156911.9748702
1.502,1520,1790156914.978,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",61,True,1790156913.4765143
1.501,1520,1790156916.48,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",62,True,1790156914.9782076
1.503,1520,1790156917.982,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",63,True,1790156916.4796898
1.501,1520,1790156919.484,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",64,True,1790156917.9822698
1.502,1520,1790156920.986,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",65,True,1790156919.4837317
1.502,1520,1790156922.488,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",66,True,1790156920.986005
1.502,1520,1790156923.991,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",67,True,1790156922.4883401
1.502,1520,1790156925.493,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",68,True,1790156923.990649
1.503,1520,1790156926.996,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",69,True,1790156925.4928236
1.502,1520,1790156928.497,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",70,True,1790156926.9955673
1.502,1520,1790156930.0,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",71,True,1790156928.4971886
1.503,1520,1790156931.503,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",72,True,1790156929.9996219
1.503,1520,1790156933.006,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",73,True,1790156931.502945
1.502,1520,1790156934.508,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",74,True,1790156933.0057926
1.502,1520,1790156936.01,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",75,True,1790156934.5076454
1.503,1520,1790156937.513,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",76,True,1790156936.009998
1.502,1520,1790156939.015,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",77,True,1790156937.512866
1.502,1520,1790156940.516,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",78,True,1790156939.0147092
1.502,1520,1790156942.018,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",79,True,1790156940.5163739
1.501,1520,1790156943.519,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",80,True,1790156942.018176
1.502,1520,1790156945.022,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",81,True,1790156943.5194652
1.502,1520,1790156946.524,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",82,True,1790156945.021834
1.502,1520,1790156948.026,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",83,True,1790156946.5237067
1.502,1520,1790156949.528,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",84,True,1790156948.025631
1.502,1520,1790156951.03,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",85,True,1790156949.5278556
1.501,1520,1790156952.532,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",86,True,1790156951.03028
1.502,1520,1790156954.034,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",87,True,1790156952.5317678
1.502,1520,1790156955.536,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",88,True,1790156954.0336
1.503,1520,1790156957.038,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",89,True,1790156955.5359592
1.502,1520,1790156958.54,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",90,True,1790156957.0385182
1.502,1520,1790156960.042,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",91,True,1790156958.540321
1.502,1520,1790156961.544,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",92,True,1790156960.0420446
1.502,1520,1790156963.047,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",93,True,1790156961.5441563
1.503,1520,1790156964.549,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",94,True,1790156963.0466168
1.502,1520,1790156966.052,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",95,True,1790156964.5494792
1.503,1520,1790156967.554,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",96,True,1790156966.051605
1.502,1520,1790156969.056,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",97,True,1790156967.5541723
1.503,1520,1790156970.559,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",98,True,1790156969.0559661
1.502,1520,1790156972.061,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",99,True,1790156970.558884
1.502,1520,1790156973.563,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",100,True,1790156972.0606794
